Id,Symbol,Name,DisplaySymbol,Exchange,Portfolio,Currency,Quantity,Cost Per Share,Cost Basis Method,Commission,Date,TimeOfDay,PurchaseFX,Type,Method,Method Execution Ids,Notes        
"51","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","200","17.61","0","0","2019-10-02 GMT+0200","05:00:00",,"Buy",,,
"52","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.57","0","0","2019-10-06 GMT+0200","05:00:00",,"Buy",,,
"53","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.95","0","0","2019-11-06 GMT+0100","04:00:00",,"Buy",,,
"54","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","14.25","0","0","2019-11-11 GMT+0100","04:00:00",,"Buy",,,
"55","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","13.39","0","0","2019-11-12 GMT+0100","04:00:00",,"Buy",,,
"56","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.3","0","0","2020-01-02 GMT+0100","04:00:00",,"Buy",,,
"57","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","17.24","0","0","2020-01-26 GMT+0100","04:00:00",,"Buy",,,
"58","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.59","0","0","2020-02-09 GMT+0100","04:00:00",,"Buy",,,
"59","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","200","14.37","0","0","2020-03-04 GMT+0100","04:00:00",,"Buy",,,
"60","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","12.84","0","0","2020-03-05 GMT+0100","04:00:00",,"Buy",,,
"61","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","12.24","0","0","2020-03-05 GMT+0100","04:00:00",,"Buy",,,
"62","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","10.5","0","0","2020-03-08 GMT+0100","04:00:00",,"Buy",,,
"63","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","9.88","0","0","2020-03-10 GMT+0100","04:00:00",,"Buy",,,
"64","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","8.55","0","0","2020-03-15 GMT+0100","04:00:00",,"Buy",,,
"65","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","300","9.79","0","0","2020-04-08 GMT+0200","05:00:00",,"Buy",,,
"66","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","8.89","0","0","2020-04-23 GMT+0200","05:00:00",,"Buy",,,
"67","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","8.95","0","0","2020-05-19 GMT+0200","05:00:00",,"Buy",,,
"68","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","800","15.99","0","0","2020-07-05 GMT+0200","05:00:00",,"Sell","FIFO",,"clear"
"69","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","200","18.3","0","0","2020-07-21 GMT+0200","05:00:00",,"Sell","FIFO",,"modal"
"70","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","800","22.35","0","0","2020-08-27 GMT+0200","15:40:00",,"Sell","FIFO",,
"71","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","200","23.86","0","0","2020-11-30 GMT+0100","18:30:00",,"Sell","FIFO",,
"72","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","500","34.02","0","0","2020-12-28 GMT+0100","18:00:00",,"Sell","FIFO",,
"73","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","45.87","0","0","2021-01-26 GMT+0100","16:07:00",,"Sell","FIFO",,
"74","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","51.33","0","0","2021-02-03 GMT+0100","19:18:00",,"Sell","FIFO",,
        
"75","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL",,,,,,,,,,,
"76","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","200","12.23","0","0","2019-08-21 GMT+0200","05:00:00",,"Buy",,,
"77","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","100","13.47","0","0","2020-01-15 GMT+0100","04:00:00",,"Buy",,,
"78","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","100","13.1","0","0","2020-01-27 GMT+0100","04:00:00",,"Buy",,,
"79","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","100","8.15","0","0","2020-03-25 GMT+0100","04:00:00",,"Buy",,,
"80","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","200","9","0","0","2020-03-26 GMT+0100","04:00:00",,"Buy",,,
        
"81","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL",,,,,,,,,,,
"82","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","200","12.23","0","0","2019-08-20 GMT+0200","05:00:00",,"Buy",,,
"83","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","100","13.47","0","0","2020-01-14 GMT+0100","04:00:00",,"Buy",,,
"84","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","100","13.1","0","0","2020-01-26 GMT+0100","04:00:00",,"Buy",,,
"85","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","100","8.15","0","0","2020-03-24 GMT+0100","04:00:00",,"Buy",,,
"86","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","200","9","0","0","2020-03-25 GMT+0100","04:00:00",,"Buy",,,
"87","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","200","10.99","0","0","2020-07-29 GMT+0200","15:13:00",,"Buy",,,
"88","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","700","9.97","0","0","2020-08-13 GMT+0200","18:32:00",,"Buy",,,"inter"
"89","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","700","9.76","0","0","2020-08-27 GMT+0200","16:07:00",,"Buy",,,
"90","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","1400","11.76","0","0","2020-12-28 GMT+0100","18:29:00",,"Buy",,,
"91","ITSA4.SA","Itausa Pn N1",,"SAO","Bovespa","BRL","500","10.52","0","0","2021-02-12 GMT+0100","14:35:00",,"Buy",,,
        
"92","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL",,,,,,,,,,,
"93","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","1100","18","0","0","2018-05-28 GMT+0200","17:46:11",,"Buy",,,
"94","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","300","15.93","0","0","2018-06-01 GMT+0200","18:14:58",,"Buy",,,
"95","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","800","21.22","0","0","2018-09-27 GMT+0200","05:00:00",,"Sell","FIFO",,
"96","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","600","26.5","0","0","2018-10-08 GMT+0200","05:00:00",,"Sell","FIFO",,
"97","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","26.09","0","0","2020-02-26 GMT+0100","04:00:00",,"Buy",,,
"98","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","17.75","0","0","2020-03-09 GMT+0100","04:00:00",,"Buy",,,
"99","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","15.63","0","0","2020-03-09 GMT+0100","04:00:00",,"Buy",,,
"100","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","16.55","0","0","2020-03-11 GMT+0100","04:00:00",,"Buy",,,
"101","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","12.95","0","0","2020-03-16 GMT+0100","04:00:00",,"Buy",,,
"102","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","200","13.58","0","0","2020-03-25 GMT+0100","04:00:00",,"Buy",,,
"103","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","14.07","0","0","2020-03-26 GMT+0100","04:00:00",,"Buy",,,
"104","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","13.48","0","0","2020-03-27 GMT+0100","04:00:00",,"Buy",,,
        
"105","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL",,,,,,,,,,,
"106","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","1100","18","0","0","2018-05-27 GMT+0200","17:46:00",,"Buy",,,
"107","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","300","15.93","0","0","2018-05-31 GMT+0200","18:14:00",,"Buy",,,
"108","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","800","21.22","0","0","2018-09-26 GMT+0200","05:00:00",,"Sell","FIFO",,
"109","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","600","26.5","0","0","2018-10-07 GMT+0200","05:00:00",,"Sell","FIFO",,
"110","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","26.09","0","0","2020-02-25 GMT+0100","04:00:00",,"Buy",,,
"111","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","17.75","0","0","2020-03-08 GMT+0100","04:00:00",,"Buy",,,
"112","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","15.63","0","0","2020-03-08 GMT+0100","04:00:00",,"Buy",,,
"113","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","16.55","0","0","2020-03-10 GMT+0100","04:00:00",,"Buy",,,
"114","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","12.95","0","0","2020-03-15 GMT+0100","04:00:00",,"Buy",,,
"115","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","200","13.58","0","0","2020-03-24 GMT+0100","04:00:00",,"Buy",,,
"116","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","14.07","0","0","2020-03-25 GMT+0100","04:00:00",,"Buy",,,
"117","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","100","13.48","0","0","2020-03-26 GMT+0100","04:00:00",,"Buy",,,
"118","PETR4.SA","Petrobras Pn N2",,"SAO","Bovespa","BRL","200","27.54","0","0","2021-01-26 GMT+0100","17:08:00",,"Sell","FIFO",,
        
"119","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL",,,,,,,,,,,
"120","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","800","15.74","0","0","2018-10-29 GMT+0100","04:00:00",,"Buy",,,
"121","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","1000","15.01","0","0","2018-12-21 GMT+0100","03:00:00",,"Buy",,,
"122","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","1000","18.2","0","0","2019-06-19 GMT+0200","05:00:00","10","Sell","FIFO",,
"123","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","800","19.05","0","0","2019-07-10 GMT+0200","05:00:00",,"Sell","FIFO",,
"124","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","200","14.16","0","0","2020-02-28 GMT+0100","04:00:00",,"Buy",,,
"125","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","200","14.74","0","0","2020-03-02 GMT+0100","04:00:00",,"Buy",,,
        
"126","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL",,,,,,,,,,,
"127","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","800","15.74","0","0","2018-10-28 GMT+0100","04:00:00",,"Buy",,,
"128","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","1000","15.01","0","0","2018-12-20 GMT+0100","03:00:00",,"Buy",,,
"130","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","800","19.05","0","0","2019-07-09 GMT+0200","05:00:00",,"Sell","FIFO",,
"131","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","200","14.16","0","0","2020-02-27 GMT+0100","04:00:00",,"Buy",,,
"132","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","200","14.74","0","0","2020-03-01 GMT+0100","04:00:00",,"Buy",,,
"133","ABEV3.SA","Ambev S/a On",,"SAO","Bovespa","BRL","400","12.65","0","0","2020-08-27 GMT+0200","15:56:00",,"Buy",,,
        
"134","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL",,,,,,,,,,,
"135","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","300","6.83","0","0","2020-01-29 GMT+0100","04:00:00",,"Buy",,,
"136","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","100","4.27","0","0","2020-04-22 GMT+0200","05:00:00",,"Buy",,,
"137","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","100","3.57","0","0","2020-05-11 GMT+0200","05:00:00",,"Buy",,,
"138","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","100","4.34","0","0","2020-06-01 GMT+0200","05:00:00",,"Buy",,,
"139","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","300","4.95","0","0","2020-07-28 GMT+0200","05:00:00",,"Buy",,,
"140","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","1100","4.65","0","0","2020-08-27 GMT+0200","15:52:00",,"Buy",,,
"141","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","300","3.93","0","0","2020-10-06 GMT+0200","20:30:00",,"Buy",,,
